Débito;Ingreso
0;88.000
0;600.000
-6.000;0
-687.000;0
0;80.000
0;60.000
-25.500;0
-40.000;0
-705.328;0
-30.000;0
0;500.000
0;26.000
0;6.000
0;100.000
-100.000;0
-75.000;0
0;2.266.314
-33.000;0
-20.000;0
0;5.200.000
-30.000;0
-300.000;0
-7.000.000;0
-100.000;0
-26.250;0
-27.000;0
0;15.461.672
-3.412.082;0
-20.000;0
-2.815.699;0
-9.000.000;0
-35.000;0
0;430.000
-430.000;0
-20.500;0
0;60.000
0;40.000
-291;0
